"date added"    chinese     pinyin      english
5/12/2021       弃        	qì       	"to abandon"
5/12/2021       军团        jūntuán		legion
5/12/2021       改          gǎi			"to change"
5/12/2021       作战        zuòzhàn	    "combat / to fight"
5/12/2021       区          qū          "area / region / district"
5/12/2021       军队        jūnduì      "army / troops"
5/12/2021       改制        gǎizhì      "to reorganize / restructure"
5/12/2021       背后        bèihòu      behind
5/12/2021       用意	    yòngyì      "intention / purpose"
5/12/2021       分钟        fēnzhōng    minute
5/12/2021       前          qián        "front / ago"
